127.0.0.1 - - [08/Jun/2022:15:52:07 +0900] "GET / HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET / HTTP/1.1" 200 6181
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/jquery.fancybox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/fonts/flaticon/font/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/storeCommon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/demoStoreManagement.css HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/demo.css HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/storeLayOut.css HTTP/1.1" 200 30716
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/style.css HTTP/1.1" 200 30872
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/basic.css HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/componentStoreManagement.css HTTP/1.1" 200 5999
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/normalizeStoreManagement.css HTTP/1.1" 200 1825
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/popup.css HTTP/1.1" 200 6766
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/js/modernizr.custom.26887.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/js/jquery.imgslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/chinese.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/bibimbap.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/sushi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/bossam.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/css/demo.css HTTP/1.1" 200 9451
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/shadow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /resources/assets/images/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:52:08 +0900] "GET /favicon.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:53:35 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [08/Jun/2022:15:53:35 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:26:16 +0900] "GET /resources/assets/images/chicken.jpg HTTP/1.1" 200 46794
0:0:0:0:0:0:0:1 - - [08/Jun/2022:17:26:16 +0900] "GET /resources/assets/images/pizza_cover.jpg HTTP/1.1" 200 120656
